night 20191201 expid 0 is arc; skipping
night 20191201 expid 1 is arc; skipping
night 20191201 expid 2 is arc; skipping
night 20191204 expid 53 is arc; skipping
night 20191204 expid 54 is arc; skipping
night 20191204 expid 55 is arc; skipping
night 20191205 expid 102 is arc; skipping
night 20191205 expid 103 is arc; skipping
night 20191205 expid 104 is arc; skipping
night 20191206 expid 155 is arc; skipping
night 20191206 expid 156 is arc; skipping
night 20191206 expid 157 is arc; skipping
night 20191207 expid 211 is arc; skipping
night 20191207 expid 212 is arc; skipping
night 20191207 expid 213 is arc; skipping
night 20191215 expid 271 is arc; skipping
night 20191215 expid 272 is arc; skipping
night 20191215 expid 273 is arc; skipping
night 20191216 expid 332 is arc; skipping
night 20191216 expid 333 is arc; skipping
night 20191216 expid 334 is arc; skipping
night 20191219 expid 390 is arc; skipping
night 20191219 expid 391 is arc; skipping
night 20191219 expid 392 is arc; skipping
night 20191220 expid 439 is arc; skipping
night 20191220 expid 440 is arc; skipping
night 20191220 expid 441 is arc; skipping
night 20191221 expid 491 is arc; skipping
night 20191221 expid 492 is arc; skipping
night 20191221 expid 493 is arc; skipping
night 20191222 expid 542 is arc; skipping
night 20191222 expid 543 is arc; skipping
night 20191222 expid 544 is arc; skipping
night 20191223 expid 598 is arc; skipping
night 20191223 expid 599 is arc; skipping
night 20191223 expid 600 is arc; skipping
night 20191224 expid 650 is arc; skipping
night 20191224 expid 651 is arc; skipping
night 20191224 expid 652 is arc; skipping
night 20191225 expid 704 is arc; skipping
night 20191225 expid 705 is arc; skipping
night 20191225 expid 706 is arc; skipping
night 20191227 expid 756 is arc; skipping
night 20191227 expid 757 is arc; skipping
night 20191227 expid 758 is arc; skipping
night 20191230 expid 810 is arc; skipping
night 20191230 expid 811 is arc; skipping
night 20191230 expid 812 is arc; skipping
night 20200101 expid 864 is arc; skipping
night 20200101 expid 865 is arc; skipping
night 20200101 expid 866 is arc; skipping
night 20200102 expid 915 is arc; skipping
night 20200102 expid 916 is arc; skipping
night 20200102 expid 917 is arc; skipping
night 20200103 expid 964 is arc; skipping
night 20200103 expid 965 is arc; skipping
night 20200103 expid 966 is arc; skipping
night 20200104 expid 1019 is arc; skipping
night 20200104 expid 1020 is arc; skipping
night 20200104 expid 1021 is arc; skipping
night 20200113 expid 1077 is arc; skipping
night 20200113 expid 1078 is arc; skipping
night 20200113 expid 1079 is arc; skipping
night 20200114 expid 1136 is arc; skipping
night 20200114 expid 1137 is arc; skipping
night 20200114 expid 1138 is arc; skipping
night 20200116 expid 1204 is arc; skipping
night 20200116 expid 1205 is arc; skipping
night 20200116 expid 1206 is arc; skipping
night 20200117 expid 1260 is arc; skipping
night 20200117 expid 1261 is arc; skipping
night 20200117 expid 1262 is arc; skipping
night 20200118 expid 1312 is arc; skipping
night 20200118 expid 1313 is arc; skipping
night 20200118 expid 1314 is arc; skipping
night 20200119 expid 1365 is arc; skipping
night 20200119 expid 1366 is arc; skipping
night 20200119 expid 1367 is arc; skipping
night 20200121 expid 1419 is arc; skipping
night 20200121 expid 1420 is arc; skipping
night 20200121 expid 1421 is arc; skipping
night 20200122 expid 1471 is arc; skipping
night 20200122 expid 1472 is arc; skipping
night 20200122 expid 1473 is arc; skipping
night 20200123 expid 1527 is arc; skipping
night 20200123 expid 1528 is arc; skipping
night 20200123 expid 1529 is arc; skipping
night 20200126 expid 1576 is arc; skipping
night 20200126 expid 1577 is arc; skipping
night 20200126 expid 1578 is arc; skipping
night 20200127 expid 1628 is arc; skipping
night 20200127 expid 1629 is arc; skipping
night 20200127 expid 1630 is arc; skipping
night 20200128 expid 1680 is arc; skipping
night 20200128 expid 1681 is arc; skipping
night 20200128 expid 1682 is arc; skipping
night 20200129 expid 1732 is arc; skipping
night 20200129 expid 1733 is arc; skipping
night 20200129 expid 1734 is arc; skipping
night 20200130 expid 1778 is arc; skipping
night 20200130 expid 1779 is arc; skipping
night 20200130 expid 1780 is arc; skipping
night 20200131 expid 1824 is arc; skipping
night 20200131 expid 1825 is arc; skipping
night 20200131 expid 1826 is arc; skipping
night 20200201 expid 1873 is arc; skipping
night 20200201 expid 1874 is arc; skipping
night 20200201 expid 1875 is arc; skipping
night 20200202 expid 1921 is arc; skipping
night 20200202 expid 1922 is arc; skipping
night 20200202 expid 1923 is arc; skipping
night 20200203 expid 1984 is arc; skipping
night 20200203 expid 1985 is arc; skipping
night 20200203 expid 1986 is arc; skipping
night 20200212 expid 2046 is arc; skipping
night 20200212 expid 2047 is arc; skipping
night 20200212 expid 2048 is arc; skipping
night 20200214 expid 2113 is arc; skipping
night 20200214 expid 2114 is arc; skipping
night 20200214 expid 2115 is arc; skipping
night 20200215 expid 2165 is arc; skipping
night 20200215 expid 2166 is arc; skipping
night 20200215 expid 2167 is arc; skipping
night 20200218 expid 2215 is arc; skipping
night 20200218 expid 2216 is arc; skipping
night 20200218 expid 2217 is arc; skipping
night 20200220 expid 2266 is arc; skipping
night 20200220 expid 2267 is arc; skipping
night 20200220 expid 2268 is arc; skipping
night 20200221 expid 2317 is arc; skipping
night 20200221 expid 2318 is arc; skipping
night 20200221 expid 2319 is arc; skipping
night 20200223 expid 2368 is arc; skipping
night 20200223 expid 2369 is arc; skipping
night 20200223 expid 2370 is arc; skipping
night 20200224 expid 2416 is arc; skipping
night 20200224 expid 2417 is arc; skipping
night 20200224 expid 2418 is arc; skipping
night 20200229 expid 2467 is arc; skipping
night 20200229 expid 2468 is arc; skipping
night 20200229 expid 2469 is arc; skipping
night 20200301 expid 2513 is arc; skipping
night 20200301 expid 2514 is arc; skipping
night 20200301 expid 2515 is arc; skipping
night 20200302 expid 2561 is arc; skipping
night 20200302 expid 2562 is arc; skipping
night 20200302 expid 2563 is arc; skipping
night 20200303 expid 2613 is arc; skipping
night 20200303 expid 2614 is arc; skipping
night 20200303 expid 2615 is arc; skipping
night 20200304 expid 2673 is arc; skipping
night 20200304 expid 2674 is arc; skipping
night 20200304 expid 2675 is arc; skipping
night 20200314 expid 2735 is arc; skipping
night 20200314 expid 2736 is arc; skipping
night 20200314 expid 2737 is arc; skipping
night 20200315 expid 2796 is arc; skipping
night 20200315 expid 2797 is arc; skipping
night 20200315 expid 2798 is arc; skipping
night 20200316 expid 2846 is arc; skipping
night 20200316 expid 2847 is arc; skipping
night 20200316 expid 2848 is arc; skipping
night 20200317 expid 2896 is arc; skipping
night 20200317 expid 2897 is arc; skipping
night 20200317 expid 2898 is arc; skipping
night 20200318 expid 2941 is arc; skipping
night 20200318 expid 2942 is arc; skipping
night 20200318 expid 2943 is arc; skipping
night 20200319 expid 2991 is arc; skipping
night 20200319 expid 2992 is arc; skipping
night 20200319 expid 2993 is arc; skipping
night 20200320 expid 3039 is arc; skipping
night 20200320 expid 3040 is arc; skipping
night 20200320 expid 3041 is arc; skipping
night 20200321 expid 3085 is arc; skipping
night 20200321 expid 3086 is arc; skipping
night 20200321 expid 3087 is arc; skipping
night 20200323 expid 3130 is arc; skipping
night 20200323 expid 3131 is arc; skipping
night 20200323 expid 3132 is arc; skipping
night 20200324 expid 3176 is arc; skipping
night 20200324 expid 3177 is arc; skipping
night 20200324 expid 3178 is arc; skipping
night 20200325 expid 3219 is arc; skipping
night 20200325 expid 3220 is arc; skipping
night 20200325 expid 3221 is arc; skipping
night 20200326 expid 3263 is arc; skipping
night 20200326 expid 3264 is arc; skipping
night 20200326 expid 3265 is arc; skipping
night 20200327 expid 3313 is arc; skipping
night 20200327 expid 3314 is arc; skipping
night 20200327 expid 3315 is arc; skipping
night 20200329 expid 3357 is arc; skipping
night 20200329 expid 3358 is arc; skipping
night 20200329 expid 3359 is arc; skipping
night 20200330 expid 3403 is arc; skipping
night 20200330 expid 3404 is arc; skipping
night 20200330 expid 3405 is arc; skipping
night 20200401 expid 3447 is arc; skipping
night 20200401 expid 3448 is arc; skipping
night 20200401 expid 3449 is arc; skipping
night 20200402 expid 3497 is arc; skipping
night 20200402 expid 3498 is arc; skipping
night 20200402 expid 3499 is arc; skipping
night 20200403 expid 3555 is arc; skipping
night 20200403 expid 3556 is arc; skipping
night 20200403 expid 3557 is arc; skipping
night 20200411 expid 3611 is arc; skipping
night 20200411 expid 3612 is arc; skipping
night 20200411 expid 3613 is arc; skipping
night 20200412 expid 3669 is arc; skipping
night 20200412 expid 3670 is arc; skipping
night 20200412 expid 3671 is arc; skipping
night 20200413 expid 3721 is arc; skipping
night 20200413 expid 3722 is arc; skipping
night 20200413 expid 3723 is arc; skipping
night 20200415 expid 3763 is arc; skipping
night 20200415 expid 3764 is arc; skipping
night 20200415 expid 3765 is arc; skipping
night 20200417 expid 3806 is arc; skipping
night 20200417 expid 3807 is arc; skipping
night 20200417 expid 3808 is arc; skipping
night 20200418 expid 3851 is arc; skipping
night 20200418 expid 3852 is arc; skipping
night 20200418 expid 3853 is arc; skipping
night 20200420 expid 3893 is arc; skipping
night 20200420 expid 3894 is arc; skipping
night 20200420 expid 3895 is arc; skipping
night 20200421 expid 3935 is arc; skipping
night 20200421 expid 3936 is arc; skipping
night 20200421 expid 3937 is arc; skipping
night 20200422 expid 3976 is arc; skipping
night 20200422 expid 3977 is arc; skipping
night 20200422 expid 3978 is arc; skipping
night 20200423 expid 4017 is arc; skipping
night 20200423 expid 4018 is arc; skipping
night 20200423 expid 4019 is arc; skipping
night 20200424 expid 4059 is arc; skipping
night 20200424 expid 4060 is arc; skipping
night 20200424 expid 4061 is arc; skipping
night 20200425 expid 4097 is arc; skipping
night 20200425 expid 4098 is arc; skipping
night 20200425 expid 4099 is arc; skipping
night 20200427 expid 4140 is arc; skipping
night 20200427 expid 4141 is arc; skipping
night 20200427 expid 4142 is arc; skipping
night 20200428 expid 4177 is arc; skipping
night 20200428 expid 4178 is arc; skipping
night 20200428 expid 4179 is arc; skipping
night 20200430 expid 4217 is arc; skipping
night 20200430 expid 4218 is arc; skipping
night 20200430 expid 4219 is arc; skipping
night 20200501 expid 4257 is arc; skipping
night 20200501 expid 4258 is arc; skipping
night 20200501 expid 4259 is arc; skipping
night 20200502 expid 4311 is arc; skipping
night 20200502 expid 4312 is arc; skipping
night 20200502 expid 4313 is arc; skipping
night 20200510 expid 4360 is arc; skipping
night 20200510 expid 4361 is arc; skipping
night 20200510 expid 4362 is arc; skipping
night 20200511 expid 4409 is arc; skipping
night 20200511 expid 4410 is arc; skipping
night 20200511 expid 4411 is arc; skipping
night 20200513 expid 4456 is arc; skipping
night 20200513 expid 4457 is arc; skipping
night 20200513 expid 4458 is arc; skipping
night 20200514 expid 4495 is arc; skipping
night 20200514 expid 4496 is arc; skipping
night 20200514 expid 4497 is arc; skipping
night 20200515 expid 4534 is arc; skipping
night 20200515 expid 4535 is arc; skipping
night 20200515 expid 4536 is arc; skipping
night 20200516 expid 4569 is arc; skipping
night 20200516 expid 4570 is arc; skipping
night 20200516 expid 4571 is arc; skipping
night 20200517 expid 4610 is arc; skipping
night 20200517 expid 4611 is arc; skipping
night 20200517 expid 4612 is arc; skipping
night 20200518 expid 4650 is arc; skipping
night 20200518 expid 4651 is arc; skipping
night 20200518 expid 4652 is arc; skipping
night 20200519 expid 4687 is arc; skipping
night 20200519 expid 4688 is arc; skipping
night 20200519 expid 4689 is arc; skipping
night 20200521 expid 4724 is arc; skipping
night 20200521 expid 4725 is arc; skipping
night 20200521 expid 4726 is arc; skipping
night 20200522 expid 4760 is arc; skipping
night 20200522 expid 4761 is arc; skipping
night 20200522 expid 4762 is arc; skipping
night 20200523 expid 4798 is arc; skipping
night 20200523 expid 4799 is arc; skipping
night 20200523 expid 4800 is arc; skipping
night 20200527 expid 4836 is arc; skipping
night 20200527 expid 4837 is arc; skipping
night 20200527 expid 4838 is arc; skipping
night 20200528 expid 4875 is arc; skipping
night 20200528 expid 4876 is arc; skipping
night 20200528 expid 4877 is arc; skipping
night 20200529 expid 4911 is arc; skipping
night 20200529 expid 4912 is arc; skipping
night 20200529 expid 4913 is arc; skipping
night 20200531 expid 4949 is arc; skipping
night 20200531 expid 4950 is arc; skipping
night 20200531 expid 4951 is arc; skipping
night 20200601 expid 4998 is arc; skipping
night 20200601 expid 4999 is arc; skipping
night 20200601 expid 5000 is arc; skipping
night 20200609 expid 5049 is arc; skipping
night 20200609 expid 5050 is arc; skipping
night 20200609 expid 5051 is arc; skipping
night 20200610 expid 5092 is arc; skipping
night 20200610 expid 5093 is arc; skipping
night 20200610 expid 5094 is arc; skipping
night 20200611 expid 5133 is arc; skipping
night 20200611 expid 5134 is arc; skipping
night 20200611 expid 5135 is arc; skipping
night 20200613 expid 5168 is arc; skipping
night 20200613 expid 5169 is arc; skipping
night 20200613 expid 5170 is arc; skipping
night 20200615 expid 5202 is arc; skipping
night 20200615 expid 5203 is arc; skipping
night 20200615 expid 5204 is arc; skipping
night 20200616 expid 5237 is arc; skipping
night 20200616 expid 5238 is arc; skipping
night 20200616 expid 5239 is arc; skipping
night 20200618 expid 5270 is arc; skipping
night 20200618 expid 5271 is arc; skipping
night 20200618 expid 5272 is arc; skipping
night 20200620 expid 5304 is arc; skipping
night 20200620 expid 5305 is arc; skipping
night 20200620 expid 5306 is arc; skipping
night 20200621 expid 5340 is arc; skipping
night 20200621 expid 5341 is arc; skipping
night 20200621 expid 5342 is arc; skipping
night 20200622 expid 5376 is arc; skipping
night 20200622 expid 5377 is arc; skipping
night 20200622 expid 5378 is arc; skipping
night 20200623 expid 5409 is arc; skipping
night 20200623 expid 5410 is arc; skipping
night 20200623 expid 5411 is arc; skipping
night 20200625 expid 5445 is arc; skipping
night 20200625 expid 5446 is arc; skipping
night 20200625 expid 5447 is arc; skipping
night 20200626 expid 5477 is arc; skipping
night 20200626 expid 5478 is arc; skipping
night 20200626 expid 5479 is arc; skipping
night 20200628 expid 5513 is arc; skipping
night 20200628 expid 5514 is arc; skipping
night 20200628 expid 5515 is arc; skipping
night 20200629 expid 5557 is arc; skipping
night 20200629 expid 5558 is arc; skipping
night 20200629 expid 5559 is arc; skipping
night 20200630 expid 5601 is arc; skipping
night 20200630 expid 5602 is arc; skipping
night 20200630 expid 5603 is arc; skipping
night 20200709 expid 5647 is arc; skipping
night 20200709 expid 5648 is arc; skipping
night 20200709 expid 5649 is arc; skipping
night 20200711 expid 5686 is arc; skipping
night 20200711 expid 5687 is arc; skipping
night 20200711 expid 5688 is arc; skipping
night 20200712 expid 5722 is arc; skipping
night 20200712 expid 5723 is arc; skipping
night 20200712 expid 5724 is arc; skipping
night 20200906 expid 5757 is arc; skipping
night 20200906 expid 5758 is arc; skipping
night 20200906 expid 5759 is arc; skipping
night 20200909 expid 5792 is arc; skipping
night 20200909 expid 5793 is arc; skipping
night 20200909 expid 5794 is arc; skipping
night 20200911 expid 5834 is arc; skipping
night 20200911 expid 5835 is arc; skipping
night 20200911 expid 5836 is arc; skipping
night 20200912 expid 5877 is arc; skipping
night 20200912 expid 5878 is arc; skipping
night 20200912 expid 5879 is arc; skipping
night 20200913 expid 5921 is arc; skipping
night 20200913 expid 5922 is arc; skipping
night 20200913 expid 5923 is arc; skipping
night 20200914 expid 5963 is arc; skipping
night 20200914 expid 5964 is arc; skipping
night 20200914 expid 5965 is arc; skipping
night 20200915 expid 6005 is arc; skipping
night 20200915 expid 6006 is arc; skipping
night 20200915 expid 6007 is arc; skipping
night 20200916 expid 6047 is arc; skipping
night 20200916 expid 6048 is arc; skipping
night 20200916 expid 6049 is arc; skipping
night 20200917 expid 6087 is arc; skipping
night 20200917 expid 6088 is arc; skipping
night 20200917 expid 6089 is arc; skipping
night 20200918 expid 6129 is arc; skipping
night 20200918 expid 6130 is arc; skipping
night 20200918 expid 6131 is arc; skipping
night 20200919 expid 6171 is arc; skipping
night 20200919 expid 6172 is arc; skipping
night 20200919 expid 6173 is arc; skipping
night 20200921 expid 6212 is arc; skipping
night 20200921 expid 6213 is arc; skipping
night 20200921 expid 6214 is arc; skipping
night 20200922 expid 6252 is arc; skipping
night 20200922 expid 6253 is arc; skipping
night 20200922 expid 6254 is arc; skipping
night 20200923 expid 6292 is arc; skipping
night 20200923 expid 6293 is arc; skipping
night 20200923 expid 6294 is arc; skipping
night 20200925 expid 6333 is arc; skipping
night 20200925 expid 6334 is arc; skipping
night 20200925 expid 6335 is arc; skipping
night 20200927 expid 6382 is arc; skipping
night 20200927 expid 6383 is arc; skipping
night 20200927 expid 6384 is arc; skipping
night 20201006 expid 6433 is arc; skipping
night 20201006 expid 6434 is arc; skipping
night 20201006 expid 6435 is arc; skipping
night 20201007 expid 6485 is arc; skipping
night 20201007 expid 6486 is arc; skipping
night 20201007 expid 6487 is arc; skipping
night 20201008 expid 6536 is arc; skipping
night 20201008 expid 6537 is arc; skipping
night 20201008 expid 6538 is arc; skipping
